Errors for Brill Tagger 'rules.yaml'

             left context |    word/test->gold     | right context
--------------------------+------------------------+--------------------------
 Chairman/NNP Richard/NNP |    Breeden/NN->NNP     | has/VBZ said/VBD 0/-NONE-
TO consider/VB circuit/NN |    breakers/NN->NNS    | that/WDT *T*-215/-NONE- h
/NN breakers/NNS that/WDT |   *T*-215/NN->-NONE-   | have/VBP preset/JJ trigge
T *T*-215/-NONE- have/VBP |     preset/NN->JJ      | trigger/NN points/NNS ,/,
n/NNP was/VBD so/RB ``/`` |      vague/NN->JJ      | and/CC mushy/JJ ''/'' tha
/RB ``/`` vague/JJ and/CC |      mushy/NN->JJ      | ''/'' that/IN it/PRP was/
/JJ and/CC mushy/JJ ''/'' |      that/WDT->IN      | it/PRP was/VBD the/DT kin
B people/NNS of/IN all/DT |   viewpoints/NN->NNS   | could/MD ``/`` come/VB ou
points/NNS could/MD ``/`` |      come/VBN->VB      | out/RB *-2/-NONE- feeling
NS could/MD ``/`` come/VB |       out/RP->RB       | *-2/-NONE- feeling/VBG go
NN ,/, Mr./NNP Phelan/NNP |    angered/NN->VBD     | the/DT subcommittee/NN 's
 chairman/NN ,/, Rep./NNP |     Edward/NN->NNP     | Markey/NNP -LRB-/-LRB- D.
N ,/, Rep./NNP Edward/NNP |     Markey/NN->NNP     | -LRB-/-LRB- D./NNP ,/, Ma
 not/RB going/VBG much/RB |     beyond/NN->IN      | what/WP *T*-1/-NONE- alre
ready/RB had/VBD been/VBN |   reported/VBD->VBN    | *-131/-NONE- in/IN the/DT
VBD been/VBN reported/VBN |    *-131/NN->-NONE-    | in/IN the/DT morning/NN n
                    ``/`` |     Markey/NN->NNP     | said/VBD 0/-NONE- we/PRP 
- we/PRP could/MD have/VB |      done/NN->VBN      | this/DT in/IN public/NN '
VB done/VBN this/DT in/IN |     public/JJ->NN      | ''/'' because/IN so/RB li
NN ''/'' because/IN so/RB |     little/JJ->RB      | sensitive/JJ information/
ecause/IN so/RB little/RB |    sensitive/NN->JJ    | information/NN was/VBD di
/NN was/VBD disclosed/VBN |    *-132/NN->-NONE-    | ,/, the/DT aide/NN said/V
r./NNP Phelan/NNP then/RB |   responded/VBN->VBD   | that/IN he/PRP would/MD h
would/MD have/VB been/VBN |      happy/NN->JJ      | *-1/-NONE- just/RB writin
ppy/JJ *-1/-NONE- just/RB |    writing/NN->VBG     | a/DT report/NN to/TO the/
T hearing/NN ,/, Rep./NNP |     Markey/NN->NNP     | asked/VBD Mr./NNP Phelan/
*-1/-NONE- would/MD be/VB |   discussed/NN->VBN    | *-133/-NONE- at/IN a/DT N
ld/MD be/VB discussed/VBN |    *-133/NN->-NONE-    | at/IN a/DT New/NNP York/N
ikely/JJ *-1/-NONE- to/TO |      study/NN->VB      | the/DT program-trading/JJ
      That/DT response/NN |    annoyed/NN->VBD     | Rep./NNP Markey/NNP ,/, H
e/NN annoyed/VBD Rep./NNP |     Markey/NN->NNP     | ,/, House/NNP aides/NNS s
ongressman/NN snapped/VBD |      back/NN->RP       | that/IN there/EX had/VBD 
an/NN snapped/VBD back/RP |      that/WDT->IN      | there/EX had/VBD been/VBN
there/EX had/VBD been/VBN |     enough/RB->JJ      | studies/NNS of/IN the/DT 
                          |     Fifteen/NN->CD     | of/IN the/DT 26/CD subcom
embers/NNS *ICH*-2/-NONE- |    attended/NN->VBD    | the/DT hearing/NN ,/, mos
ably/RB Rep./NNP John/NNP |    Dingell/NN->NNP     | -LRB-/-LRB- D./NNP ,/, Mi
NP chairman/NN ,/, who/WP |   *T*-216/NN->-NONE-   | has/VBZ been/VBN willing/
lling/JJ *-1/-NONE- to/TO |       let/NN->VB       | Mr./NNP Markey/NNP carry/
ONE- to/TO let/VB Mr./NNP |     Markey/NN->NNP     | carry/VB the/DT legislati
let/VB Mr./NNP Markey/NNP |     carry/VBP->VB      | the/DT legislation/NN in/
                  Mr./NNP |    Dingell/NN->NNP     | expressed/VBD concern/NN 
      Mr./NNP Dingell/NNP |   expressed/VBN->VBD   | concern/NN ,/, sources/NN
ressed/VBD concern/NN ,/, |    sources/NN->NNS     | said/VBD 0/-NONE- *T*-2/-
0/-NONE- *T*-2/-NONE- ,/, |      about/RB->IN      | jurisdictional/JJ problem
*T*-2/-NONE- ,/, about/IN | jurisdictional/NN->JJ  | problems/NNS in/IN */-NON
oblems/NNS in/IN */-NONE- |   regulating/NN->VBG   | program/NN trading/NN ,/,
program/NN trading/NN ,/, |     which/IN->WDT      | *T*-217/-NONE- uses/VBZ f
 trading/NN ,/, which/WDT |   *T*-217/NN->-NONE-   | uses/VBZ futures/NNS *-1/
 which/WDT *T*-217/-NONE- |     uses/NNS->VBZ      | futures/NNS *-1/-NONE- to
ures/NNS *-1/-NONE- to/TO |     offset/VBN->VB     | stock/NN trades/NNS ./.
es/NNS industry/NN is/VBZ |   regulated/NN->VBN    | *-134/-NONE- by/IN the/DT
